#X,SUBCASE - RANDOM DISTRIBUTED ACOUSTIC PLANE WAVES 1_ Group 3_ AUTOMATICALLY MATCHED LAYER(1)
#Frequency(Hz),General/Unknown()_Real
1395.000000,30.100727
1400.000000,30.142366
1405.000000,30.183378
1410.000000,30.222702
1415.000000,30.260529
1420.000000,30.295752
1425.000000,30.328209
1430.000000,30.359550
1435.000000,30.391584
1440.000000,30.424669
1445.000000,30.458132
1450.000000,30.489641
1455.000000,30.517365
1460.000000,30.540194
1465.000000,30.558451
1470.000000,30.573681
1475.000000,30.587513
1480.000000,30.601839
1485.000000,30.617931
1490.000000,30.636372
1495.000000,30.658833
1500.000000,30.684877
1505.000000,30.713480
1510.000000,30.743649
1515.000000,30.774405
1520.000000,30.805389
1525.000000,30.836081
1530.000000,30.866045
1535.000000,30.895370
1540.000000,30.924498
1545.000000,30.954355
1550.000000,30.984415
1555.000000,31.015133
1560.000000,31.045727
1565.000000,31.076752
1570.000000,31.108023
1575.000000,31.139481
1580.000000,31.171291
1585.000000,31.203348
1590.000000,31.236147
1595.000000,31.269918
1600.000000,31.304186
1605.000000,31.339281
1610.000000,31.374443
1615.000000,31.409201
1620.000000,31.442091
1625.000000,31.472664
1630.000000,31.500391
1635.000000,31.525476
1640.000000,31.548338
1645.000000,31.568747
1650.000000,31.587757
1655.000000,31.605967
1660.000000,31.623640
1665.000000,31.641762
1670.000000,31.660894
1675.000000,31.682686
1680.000000,31.707190
1685.000000,31.734495
1690.000000,31.762945
1695.000000,31.791801
1700.000000,31.819191
1705.000000,31.844128
1710.000000,31.865332
1715.000000,31.882494
1720.000000,31.897106
1725.000000,31.909893
1730.000000,31.924953
1735.000000,31.943281
1740.000000,31.966557
1745.000000,31.993778
1750.000000,32.023857
1755.000000,32.054535
1760.000000,32.085030
1765.000000,32.113743
1770.000000,32.139893
1775.000000,32.163937
1780.000000,32.185902
1785.000000,32.206856
1790.000000,32.226887
1795.000000,32.245323
1800.000000,32.262760
1805.000000,32.278774
1810.000000,32.293404
1815.000000,32.307404
1820.000000,32.321495
1825.000000,32.336575
1830.000000,32.353321
1835.000000,32.372101
1840.000000,32.393024
1845.000000,32.415226
1850.000000,32.437824
1855.000000,32.460484
1860.000000,32.482964
1865.000000,32.505524
1870.000000,32.528172
1875.000000,32.550957
1880.000000,32.573727
1885.000000,32.596638
1890.000000,32.619488
1895.000000,32.642120
1900.000000,32.664299
1905.000000,32.685791
1910.000000,32.706169
1915.000000,32.725063
1920.000000,32.742283
1925.000000,32.757740
1930.000000,32.772385
1935.000000,32.786709
1940.000000,32.801754
1945.000000,32.817955
1950.000000,32.836079
1955.000000,32.856163
1960.000000,32.878662
1965.000000,32.903072
1970.000000,32.929596
1975.000000,32.957783
1980.000000,32.986717
1985.000000,33.016102
1990.000000,33.045101
1995.000000,33.073124
2000.000000,33.099728
2005.000000,33.124287
2010.000000,33.146458
2015.000000,33.166534
2020.000000,33.184715
2025.000000,33.201057
2030.000000,33.216469
2035.000000,33.231045
2040.000000,33.245438
2045.000000,33.259995
2050.000000,33.275375
2055.000000,33.292084
2060.000000,33.310482
2065.000000,33.330441
2070.000000,33.352238
2075.000000,33.375332
