#X,SUBCASE - RANDOM DISTRIBUTED ACOUSTIC PLANE WAVES 1_ Group 3_ AUTOMATICALLY MATCHED LAYER(1)
#Frequency(Hz),General/Unknown()_Real
20.000000,39.973591
25.000000,33.442310
30.000000,26.538076
35.000000,17.208000
40.000000,4.522574
45.000000,16.187891
50.000000,19.834326
55.000000,21.672281
60.000000,22.776463
65.000000,23.509308
70.000000,24.031471
75.000000,24.377131
80.000000,24.735210
85.000000,25.061371
90.000000,25.376425
95.000000,25.649769
100.000000,25.934713
105.000000,26.258465
110.000000,26.661970
115.000000,27.213327
120.000000,27.932940
125.000000,29.239285
130.000000,32.554905
135.000000,26.081722
140.000000,17.516005
145.000000,20.299826
150.000000,21.940271
155.000000,22.879175
160.000000,23.508131
165.000000,23.980423
170.000000,24.366425
175.000000,24.702429
180.000000,25.009609
185.000000,25.296690
190.000000,25.583401
195.000000,25.872986
200.000000,26.168512
205.000000,26.483768
210.000000,26.809422
215.000000,27.107555
220.000000,27.023996
225.000000,26.255241
230.000000,27.281969
235.000000,28.508385
240.000000,29.754677
245.000000,31.244009
250.000000,32.105671
255.000000,28.051424
260.000000,21.258003
265.000000,19.491169
270.000000,20.945023
275.000000,22.277514
280.000000,23.248518
285.000000,23.976404
290.000000,24.505854
295.000000,24.638685
300.000000,24.619169
305.000000,25.073597
310.000000,25.553581
315.000000,25.996908
320.000000,26.423759
325.000000,26.762329
330.000000,26.431831
335.000000,25.081133
340.000000,24.897760
345.000000,25.322304
350.000000,25.687208
355.000000,25.797194
360.000000,25.857479
365.000000,26.085957
370.000000,26.324287
375.000000,26.536211
380.000000,26.726364
385.000000,26.901455
390.000000,27.067036
395.000000,27.224720
400.000000,27.373804
405.000000,27.509636
410.000000,27.630724
415.000000,27.774899
420.000000,27.935356
425.000000,28.066032
430.000000,28.103485
435.000000,27.935204
440.000000,27.514299
445.000000,26.803526
450.000000,26.363382
455.000000,26.488714
460.000000,26.431057
465.000000,26.313515
470.000000,26.516546
475.000000,26.782337
480.000000,26.991655
485.000000,27.243761
490.000000,27.522079
495.000000,27.772209
500.000000,27.986242
505.000000,28.176657
510.000000,28.347631
515.000000,28.503382
520.000000,28.638065
525.000000,28.733009
530.000000,28.774590
535.000000,28.823345
540.000000,28.934334
545.000000,29.073803
550.000000,29.215559
555.000000,29.354067
560.000000,29.491940
565.000000,29.625151
570.000000,29.754509
575.000000,29.876514
580.000000,29.980684
585.000000,30.041403
590.000000,30.024660
595.000000,29.958023
600.000000,29.970846
605.000000,30.091391
610.000000,30.260538
615.000000,30.434803
620.000000,30.602472
625.000000,30.754635
630.000000,30.885187
635.000000,30.976763
640.000000,31.008934
645.000000,30.993546
650.000000,31.012936
655.000000,31.098387
660.000000,31.185205
665.000000,31.228191
670.000000,31.281330
675.000000,31.407425
680.000000,31.589514
685.000000,31.785883
690.000000,31.966223
695.000000,32.113216
700.000000,32.231758
705.000000,32.350685
710.000000,32.502224
715.000000,32.692989
720.000000,32.908489
725.000000,33.134544
730.000000,33.364246
735.000000,33.599453
740.000000,33.846355
745.000000,34.104084
750.000000,34.360397
755.000000,34.595703
760.000000,34.793545
765.000000,34.963993
770.000000,35.152565
775.000000,35.403919
780.000000,35.729786
785.000000,36.118942
790.000000,36.556564
795.000000,37.032127
800.000000,37.541882
805.000000,38.089184
810.000000,38.678101
815.000000,39.321793
820.000000,40.006447
825.000000,40.694168
830.000000,41.307400
835.000000,41.717758
840.000000,41.762089
845.000000,41.316639
850.000000,40.386654
855.000000,39.099247
860.000000,37.610035
865.000000,36.034962
870.000000,34.438580
875.000000,32.850357
880.000000,31.280514
885.000000,29.730906
890.000000,28.201067
895.000000,26.694389
900.000000,25.223553
905.000000,23.815374
910.000000,22.518328
915.000000,21.404892
920.000000,20.556801
925.000000,20.036432
930.000000,19.849047
935.000000,19.940367
940.000000,20.222298
945.000000,20.609085
950.000000,21.037622
955.000000,21.471184
960.000000,21.894331
965.000000,22.303186
970.000000,22.695944
975.000000,23.073713
980.000000,23.437616
985.000000,23.786598
990.000000,24.116049
995.000000,24.422558
1000.000000,24.706408
1005.000000,24.969696
1010.000000,25.208698
1015.000000,25.416744
1020.000000,25.587429
1025.000000,25.721230
1030.000000,25.829582
1035.000000,25.929729
1040.000000,26.035772
1045.000000,26.152399
1050.000000,26.282042
1055.000000,26.425369
1060.000000,26.578743
1065.000000,26.731869
1070.000000,26.873583
1075.000000,26.996704
1080.000000,27.099108
1085.000000,27.185482
1090.000000,27.263861
1095.000000,27.343811
1100.000000,27.433268
1105.000000,27.534983
1110.000000,27.645102
1115.000000,27.759624
1120.000000,27.872143
1125.000000,27.977900
1130.000000,28.071714
1135.000000,28.150740
1140.000000,28.216339
1145.000000,28.274113
1150.000000,28.332127
1155.000000,28.396858
1160.000000,28.474754
1165.000000,28.564053
1170.000000,28.662121
1175.000000,28.764273
1180.000000,28.867811
1185.000000,28.968952
1190.000000,29.067251
1195.000000,29.162081
1200.000000,29.251316
1205.000000,29.336546
1210.000000,29.415651
1215.000000,29.487305
1220.000000,29.549976
1225.000000,29.602577
1230.000000,29.645081
1235.000000,29.675230
1240.000000,29.691515
1245.000000,29.693108
1250.000000,29.680635
1255.000000,29.656582
1260.000000,29.627062
1265.000000,29.598835
1270.000000,29.578482
1275.000000,29.574350
1280.000000,29.589876
1285.000000,29.624491
1290.000000,29.675591
1295.000000,29.742304
1300.000000,29.816904
1305.000000,29.893694
1310.000000,30.021233
1315.000000,30.088284
1320.000000,30.139843
1325.000000,30.176338
1330.000000,30.196604
1335.000000,30.203114
1340.000000,30.204744
1345.000000,30.211870
1350.000000,30.235184
1355.000000,30.275919
1360.000000,30.331718
1365.000000,30.396988
1370.000000,30.467831
1375.000000,30.539869
1380.000000,30.608568
1385.000000,30.673847
1390.000000,30.731548
1395.000000,30.784185
1400.000000,30.827335
1405.000000,30.860832
1410.000000,30.885191
1415.000000,30.900152
1420.000000,30.911274
1425.000000,30.925442
1430.000000,30.946115
1435.000000,30.978456
1440.000000,31.018730
1445.000000,31.062809
1450.000000,31.109241
1455.000000,31.154926
1460.000000,31.198082
1465.000000,31.236216
1470.000000,31.271639
1475.000000,31.304325
1480.000000,31.334288
1485.000000,31.362329
1490.000000,31.387291
1495.000000,31.405302
1500.000000,31.417076
1505.000000,31.421974
1510.000000,31.423019
1515.000000,31.423979
1520.000000,31.425550
1525.000000,31.429571
1530.000000,31.436279
1535.000000,31.449991
1540.000000,31.470324
1545.000000,31.498882
1550.000000,31.534334
1555.000000,31.572733
1560.000000,31.612402
1565.000000,31.650158
1570.000000,31.683851
1575.000000,31.711813
1580.000000,31.734465
1585.000000,31.753874
1590.000000,31.770525
1595.000000,31.787502
1600.000000,31.806353
1605.000000,31.825356
1610.000000,31.845242
1615.000000,31.863203
1620.000000,31.878765
1625.000000,31.893335
1630.000000,31.908493
1635.000000,31.926275
1640.000000,31.945221
1645.000000,31.964930
1650.000000,31.981628
1655.000000,31.995493
1660.000000,32.005341
1665.000000,32.013454
1670.000000,32.023403
1675.000000,32.038490
1680.000000,32.059628
1685.000000,32.086624
1690.000000,32.117332
1695.000000,32.147995
1700.000000,32.175217
1705.000000,32.197662
1710.000000,32.214207
1715.000000,32.224815
1720.000000,32.231453
1725.000000,32.237633
1730.000000,32.247650
1735.000000,32.264759
1740.000000,32.291183
1745.000000,32.325363
1750.000000,32.365211
1755.000000,32.408318
1760.000000,32.451405
1765.000000,32.493160
1770.000000,32.531441
1775.000000,32.564644
1780.000000,32.592880
1785.000000,32.615314
1790.000000,32.632256
1795.000000,32.645462
1800.000000,32.656990
1805.000000,32.668411
1810.000000,32.681637
1815.000000,32.697594
1820.000000,32.717701
1825.000000,32.741741
1830.000000,32.769741
1835.000000,32.800690
1840.000000,32.833279
1845.000000,32.865917
