#X,SUBCASE - RANDOM DISTRIBUTED ACOUSTIC PLANE WAVES 1_ Group 3_ BOTTOMAML_NEW
#Frequency(Hz),General/Unknown()_Real
915.000000,22.533253
920.000000,21.643536
925.000000,21.073681
930.000000,20.841961
935.000000,20.904375
940.000000,21.177773
945.000000,21.569838
950.000000,22.009027
955.000000,22.449999
960.000000,22.878662
965.000000,23.292410
970.000000,23.691353
975.000000,24.079378
980.000000,24.456289
985.000000,24.819618
990.000000,25.163301
995.000000,25.480946
1000.000000,25.775068
1005.000000,26.050760
1010.000000,26.310410
1015.000000,26.552582
1020.000000,26.775347
1025.000000,26.976303
1030.000000,27.149082
1035.000000,27.284330
1040.000000,27.378664
1045.000000,27.445288
1050.000000,27.512754
1055.000000,27.606087
1060.000000,27.729040
1065.000000,27.865366
1070.000000,27.990345
1075.000000,28.079308
1080.000000,28.113304
1085.000000,28.087763
1090.000000,28.023073
1095.000000,27.963043
1100.000000,27.950745
1105.000000,28.001675
1110.000000,28.101624
1115.000000,28.222868
1120.000000,28.337740
1125.000000,28.423615
1130.000000,28.464611
1135.000000,28.454458
1140.000000,28.400251
1145.000000,28.323748
1150.000000,28.257799
1155.000000,28.235630
1160.000000,28.275282
1165.000000,28.372995
1170.000000,28.510765
1175.000000,28.669737
1180.000000,28.835814
1185.000000,29.000528
1190.000000,29.159529
1195.000000,29.310915
1200.000000,29.454084
1205.000000,29.588989
1210.000000,29.715721
1215.000000,29.834227
1220.000000,29.944086
1225.000000,30.044302
1230.000000,30.133051
1235.000000,30.207405
1240.000000,30.263165
1245.000000,30.295126
1250.000000,30.298437
1255.000000,30.271687
1260.000000,30.220797
1265.000000,30.159752
1270.000000,30.104706
1275.000000,30.066172
1280.000000,30.048485
1285.000000,30.055296
1290.000000,30.091351
1295.000000,30.147289
1300.000000,30.239048
1305.000000,30.346819
1310.000000,30.460848
1315.000000,30.574837
1320.000000,30.684353
1325.000000,30.787266
1330.000000,30.882231
1335.000000,30.969318
1340.000000,31.048399
1345.000000,31.120680
1350.000000,31.188631
1355.000000,31.254749
1360.000000,31.320976
1365.000000,31.388037
1370.000000,31.454277
1375.000000,31.517597
1380.000000,31.576195
1385.000000,31.628250
1390.000000,31.671299
1395.000000,31.702864
1400.000000,31.721878
1405.000000,31.726263
1410.000000,31.716751
1415.000000,31.698177
1420.000000,31.679255
1425.000000,31.670212
1430.000000,31.677441
1435.000000,31.700891
1440.000000,31.735184
1445.000000,31.776014
1450.000000,31.819559
1455.000000,31.863314
1460.000000,31.904799
1465.000000,31.939083
1470.000000,31.959707
1475.000000,31.959858
1480.000000,31.933632
