#X,SUBCASE - RANDOM DISTRIBUTED ACOUSTIC PLANE WAVES 1_ Group 3_ AUTOMATICALLY MATCHED LAYER(1)
#Frequency(Hz),General/Unknown()_Real
20.000000,70.346718
25.000000,66.109390
30.000000,65.786850
35.000000,63.292709
40.000000,60.385868
45.000000,57.770210
50.000000,55.369415
55.000000,53.160408
60.000000,51.105125
65.000000,49.173546
70.000000,47.341373
75.000000,45.588360
80.000000,43.897068
85.000000,42.252007
90.000000,40.638771
95.000000,39.043743
100.000000,37.452595
105.000000,35.850361
110.000000,34.220070
115.000000,32.541538
120.000000,30.789404
125.000000,28.929974
130.000000,26.915777
135.000000,24.675346
140.000000,22.092377
145.000000,18.958755
150.000000,14.862833
155.000000,9.133717
160.000000,6.369232
165.000000,11.437644
170.000000,15.216995
175.000000,17.756296
180.000000,19.601538
185.000000,20.991449
190.000000,22.109764
195.000000,23.012989
200.000000,23.775644
205.000000,24.417215
210.000000,24.971415
215.000000,25.458929
220.000000,25.887308
225.000000,26.270903
230.000000,26.616781
235.000000,26.931000
240.000000,27.218382
245.000000,27.480116
250.000000,27.724291
255.000000,27.951040
260.000000,28.162169
265.000000,28.356710
270.000000,28.536764
275.000000,28.702875
280.000000,28.848244
285.000000,28.959646
290.000000,29.000622
295.000000,28.863459
300.000000,28.286810
305.000000,27.689779
310.000000,28.429516
315.000000,29.154303
320.000000,29.577202
325.000000,29.856379
330.000000,30.069588
335.000000,30.249174
340.000000,30.409796
345.000000,30.558823
350.000000,30.700325
355.000000,30.836744
360.000000,30.969650
365.000000,31.100113
370.000000,31.228912
375.000000,31.356636
380.000000,31.483749
385.000000,31.610624
390.000000,31.737566
395.000000,31.864815
400.000000,31.992540
405.000000,32.120827
410.000000,32.249634
415.000000,32.378738
420.000000,32.507607
425.000000,32.635220
430.000000,32.756420
435.000000,32.874493
440.000000,32.980236
445.000000,33.063015
450.000000,33.103302
455.000000,33.064705
460.000000,32.879818
465.000000,32.435844
470.000000,31.595810
475.000000,30.493460
480.000000,30.033167
485.000000,30.836336
490.000000,32.118885
495.000000,33.297787
500.000000,34.291561
505.000000,35.105328
510.000000,35.611870
515.000000,35.380947
520.000000,33.824436
525.000000,31.166824
530.000000,28.820932
535.000000,27.969719
540.000000,28.265915
545.000000,28.918785
550.000000,29.575315
555.000000,30.150450
560.000000,30.640404
565.000000,31.058929
570.000000,31.420439
575.000000,31.736202
580.000000,32.013733
585.000000,32.257092
590.000000,32.470490
595.000000,32.670429
600.000000,32.881798
605.000000,33.100918
610.000000,33.312199
615.000000,33.511974
620.000000,33.702431
625.000000,33.886280
